estudiante_id,genero,nse,region,capacidad_score,capacidad_nivel,rama_real,opcion_real,opcion_numero,motivacion_principal,presion_familiar,consistencia,fase1_p01,fase1_p02,fase1_p03,fase1_p04,fase1_p05,fase1_p06,fase1_p07,fase1_p08,fase1_p09,fase1_p10,fase1_p11,fase1_p12,fase1_p13,fase1_p14,fase1_p15,fase1_p16,fase1_p17,fase1_p18,fase1_p19,fase1_p20,fase1_p21,fase1_p22,fase1_p23,fase1_p24,fase1_p25,fase1_p26,fase1_p27,fase1_p28,fase1_p29,fase1_p30,fase1_p31,fase1_p32,fase1_p33,fase1_p34,fase1_p35,fase1_p36,fase1_p37,fase1_p38,fase1_p39,fase1_p40,fase1_p41,fase1_p42,fase1_p43,fase1_p44,fase1_p45,fase1_p46,fase1_p47,fase1_p48,fase1_p49,fase1_p50,fase1_p51,fase1_p52,fase1_p53,fase1_p54,fase1_p55,fase1_p56,fase1_p57,fase1_p58,fase1_p59,fase1_p60,fase1_p61,fase1_p62,fase1_p63,fase1_p64,fase1_p65,fase1_p66,fase1_p67,fase1_p68,fase1_p69,fase1_p70,fase1_p71,fase1_p72,fase1_p73,fase1_p74,fase1_p75,fase1_p76,fase1_p77,fase1_p78,fase1_p79,fase1_p80,fase2_p01,fase2_p02,fase2_p03,fase2_p04,fase2_p05,fase2_p06,fase2_p07,fase2_p08,fase2_p09,fase2_p10,fase2_p11,fase2_p12,fase2_p13,fase2_p14,fase2_p15,fase2_p16,fase2_p17,fase2_p18,fase2_p19,fase2_p20,fase2_p21,fase2_p22,fase2_p23,fase2_p24,fase2_p25,fase2_p26,fase2_p27,fase2_p28,fase2_p29,fase2_p30,fase2_p31,fase2_p32,fase2_p33,fase2_p34,fase2_p35,fase2_p36,fase2_p37,fase2_p38,fase2_p39,fase2_p40,fase2_p41,fase2_p42,fase2_p43,fase2_p44,fase2_p45,fase2_p46,fase2_p47,fase2_p48,fase2_p49,fase2_p50,fase2_p51,fase2_p52,fase2_p53,fase2_p54,fase2_p55,fase2_p56,fase2_p57,fase2_p58,fase2_p59,fase2_p60,fase2_p61,fase2_p62,fase2_p63,fase2_p64,fase2_p65,fase2_p66,fase2_p67,fase2_p68,fase2_p69,fase2_p70,fase2_p71,fase2_p72,fase2_p73,fase2_p74,fase2_p75,fase2_p76,fase2_p77,fase2_p78,fase2_p79,fase2_p80
1317,M,alto,pacifico,1.118,media_alta,Ingenieria,ARQ,10,realizacion_personal,0.631,0.791,E,B,D,A,C,B,B,B,B,E,B,A,C,A,C,D,B,B,B,B,A,B,B,C,B,A,B,C,C,B,A,E,B,B,A,B,D,C,B,A,B,B,B,A,C,B,C,B,B,B,C,B,A,B,B,B,B,C,C,C,B,E,C,B,C,B,C,B,B,B,B,C,B,B,B,A,A,A,A,C,E,E,E,C,E,E,E,C,E,E,E,E,B,C,E,E,E,E,B,E,E,B,E,E,D,B,E,E,E,E,E,E,B,E,C,E,A,E,E,E,E,E,D,E,E,A,E,C,A,C,A,E,E,E,E,E,E,C,D,E,E,D,E,D,B,D,A,E,B,E,D,D,E,B,E,A,E,B,C,B
1318,F,bajo,centro,0.501,media_baja,Oficios_Tecnicos,ELEC_IND,18,estabilidad_economica,0.454,0.66,E,D,B,B,B,B,A,D,B,C,D,B,D,D,B,D,B,E,D,E,A,B,A,C,D,C,D,C,B,E,C,D,B,D,D,C,D,C,E,A,D,C,D,B,C,D,C,A,B,D,C,E,D,B,A,B,D,C,E,D,B,E,C,D,D,E,C,C,E,B,A,C,D,B,E,A,A,A,C,C,A,C,E,D,C,C,C,C,D,A,C,C,C,C,E,C,C,D,C,C,C,C,E,C,C,C,C,C,C,B,C,B,B,D,C,D,C,C,C,C,C,C,D,C,C,C,A,D,C,C,B,C,A,E,C,C,C,C,C,D,C,C,C,B,C,C,B,C,B,C,C,C,C,C,B,C,E,C,C,C
1319,F,bajo,norte,0.427,media_baja,Oficios_Basicos,VENDEDOR,24,estabilidad_economica,0.551,0.879,D,D,D,C,B,B,B,D,B,E,C,C,D,D,B,B,B,D,A,B,A,B,C,C,E,B,D,C,C,B,C,E,A,B,D,B,D,C,D,A,E,B,D,A,C,D,C,D,B,D,C,D,B,B,D,B,D,C,E,C,B,A,C,B,B,C,C,C,A,B,D,C,C,B,C,A,B,C,D,C,B,D,D,D,E,D,D,D,C,A,B,D,B,C,D,D,C,A,A,C,D,D,E,D,D,C,D,E,D,D,B,D,C,D,D,E,D,D,D,D,D,E,D,D,D,D,D,D,D,D,B,C,D,D,D,B,D,D,D,D,A,D,D,D,D,C,D,A,B,B,D,D,D,D,A,D,D,D,D,D
1320,F,medio,centro,0.563,media_baja,Ingenieria,MEC,8,crecimiento_profesional,0.636,0.654,A,D,B,B,C,B,B,B,B,A,B,A,D,A,B,B,B,B,A,B,A,B,D,C,B,A,D,C,B,D,A,B,B,E,B,B,E,C,B,A,B,C,B,B,C,B,C,B,A,D,C,B,A,D,B,B,E,C,B,A,B,E,C,D,B,B,C,C,B,B,B,C,E,B,B,A,B,C,D,C,C,C,C,C,C,C,D,C,B,C,B,A,C,C,C,C,C,C,C,C,D,C,C,C,C,C,D,D,C,D,C,C,C,C,D,C,C,C,B,C,C,C,C,C,B,C,C,C,D,A,D,B,C,C,C,D,C,C,C,A,C,A,C,C,D,C,D,C,C,D,A,C,B,C,D,A,C,C,C,B
1321,M,medio,norte,0.611,media_baja,Oficios_Tecnicos,TEC_SIS,17,balance_vida_trabajo,0.304,0.794,E,D,B,B,E,B,A,D,A,D,B,C,D,D,B,E,B,D,A,C,D,B,B,C,D,B,E,C,C,D,C,C,B,B,B,B,A,C,D,A,D,B,D,D,C,E,C,D,B,B,C,B,C,B,E,B,B,C,D,C,B,C,C,A,D,E,C,B,D,B,D,C,D,B,D,A,D,B,C,C,B,B,B,B,B,A,B,D,C,B,B,B,B,B,B,E,B,B,B,B,C,D,B,B,B,A,B,B,B,B,D,B,B,E,D,A,B,B,D,A,D,B,B,A,B,C,D,B,B,B,B,C,B,C,D,B,B,B,C,B,D,D,B,B,D,C,B,B,B,B,A,B,B,B,E,D,B,D,B,B
1322,M,bajo,sur,0.359,baja,Oficios_Tecnicos,TEC_AUTO,20,estabilidad_economica,0.452,0.743,E,E,D,C,E,C,E,D,C,A,E,D,A,D,C,D,C,D,E,A,C,E,E,D,D,E,C,E,A,A,D,B,D,E,C,C,E,E,C,C,E,A,D,D,D,E,B,D,E,E,B,D,D,D,D,D,E,B,D,C,E,C,D,B,B,B,D,D,A,C,D,B,B,C,B,B,D,E,D,D,E,E,D,E,E,E,C,C,C,E,E,E,E,D,E,E,E,E,E,D,A,D,D,E,D,B,E,E,C,D,D,E,E,E,E,E,E,E,E,E,E,A,E,C,B,E,B,E,B,E,B,D,E,E,D,E,A,E,E,E,E,E,D,E,E,E,E,E,D,E,E,E,B,B,D,B,D,E,E,B
1323,F,bajo,centro,0.272,baja,Oficios_Tecnicos,ELEC_IND,18,ayudar_familia,0.633,0.832,B,D,D,B,B,E,A,E,A,A,E,E,B,D,E,D,C,D,D,D,D,A,E,E,D,D,D,B,C,D,D,D,A,E,D,D,B,D,C,C,D,A,D,B,C,A,E,A,E,C,B,D,B,C,E,C,D,B,D,D,C,C,E,D,B,D,D,C,D,D,D,D,E,D,A,D,A,D,E,A,C,C,C,C,E,C,D,C,C,C,E,C,C,C,B,E,B,C,A,C,C,B,E,C,C,C,D,B,D,E,C,C,E,C,C,B,B,C,D,C,E,C,C,C,A,C,C,B,C,C,C,C,C,C,C,E,C,C,C,E,C,C,A,C,A,A,C,D,C,B,B,C,C,C,C,C,C,C,C,C
1324,F,medio_alto,norte,0.922,media,Salud,MED,1,estabilidad_economica,0.322,0.776,B,B,D,B,E,B,A,D,D,A,C,B,C,B,B,D,B,B,B,A,A,B,E,C,D,B,A,C,B,A,A,A,B,C,B,B,A,C,A,A,E,C,D,B,C,D,C,A,B,E,C,D,A,D,A,B,D,C,A,C,B,E,C,A,B,A,C,B,E,B,E,C,A,B,A,A,D,C,A,C,A,A,C,A,A,C,A,A,A,B,D,B,D,A,A,C,A,A,B,D,A,D,A,C,B,A,A,C,C,D,C,E,C,B,C,D,B,A,B,A,E,A,A,A,A,D,A,A,E,A,A,E,A,D,B,A,D,C,A,A,D,C,A,B,B,A,D,A,A,D,A,B,A,E,A,C,A,B,A,A
1325,M,bajo,norte,0.71,media,Oficios_Tecnicos,CHEF,19,empleabilidad_rapida,0.3,0.724,E,D,E,B,B,B,B,D,B,B,D,E,C,D,B,B,B,D,C,A,A,B,D,C,D,A,D,C,C,E,D,D,B,A,C,B,D,C,D,A,A,B,D,C,C,D,C,D,B,B,C,B,C,B,A,B,E,C,A,D,B,C,C,E,A,C,C,B,E,B,A,C,D,B,C,A,D,A,D,C,C,D,D,D,D,C,D,B,A,D,D,D,D,C,D,D,D,D,D,D,D,A,B,E,D,D,D,A,D,D,D,D,D,D,C,D,D,E,D,E,D,D,D,D,C,D,D,D,E,D,B,C,B,D,C,D,A,B,D,C,D,D,B,B,D,A,D,C,D,C,D,E,E,D,C,D,D,D,D,C
1326,M,medio,sur,0.205,media_baja,Oficios_Basicos,VENDEDOR,24,estabilidad_economica,0.486,0.771,D,D,D,A,B,B,B,D,C,A,A,B,C,D,B,D,B,B,A,D,D,B,B,C,D,B,D,C,B,D,C,B,B,D,C,B,B,C,B,A,D,B,D,B,C,A,C,E,A,D,C,D,B,D,E,B,D,C,B,C,B,D,C,D,D,E,C,C,B,B,D,C,D,B,E,A,E,D,E,C,D,D,D,D,D,D,D,D,D,B,D,D,D,C,E,D,D,D,D,A,D,E,B,D,D,D,D,D,B,D,A,D,D,B,A,D,B,D,D,D,D,C,D,D,C,E,D,D,C,A,D,E,D,E,D,D,B,D,D,C,D,D,C,D,A,D,D,D,E,D,D,D,D,D,B,D,C,D,C,C
1327,M,bajo,sur,0.377,media_baja,Oficios_Tecnicos,ELEC_IND,18,empleabilidad_rapida,0.39,0.684,B,C,D,A,C,B,B,D,B,A,D,E,C,D,B,D,B,A,A,B,D,B,D,C,D,B,E,C,B,D,B,E,B,D,A,C,D,C,D,A,B,C,D,C,C,D,C,D,B,A,C,D,A,B,D,B,B,C,D,D,B,A,C,D,D,C,C,C,D,B,D,C,E,B,D,A,B,C,E,C,C,C,C,C,C,C,B,C,B,A,B,C,C,C,C,C,C,B,C,C,C,C,B,C,C,A,C,C,B,C,C,C,C,A,C,C,C,C,D,C,C,D,D,C,C,C,C,C,C,D,D,C,D,B,C,C,C,B,C,C,B,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,A,C,A,C
1328,M,bajo,centro,0.67,media,Oficios_Tecnicos,ELEC_IND,18,estabilidad_economica,0.413,0.794,B,D,D,C,B,B,B,D,D,A,B,D,C,D,B,D,B,D,C,C,A,B,D,C,D,B,B,C,B,D,D,D,B,D,B,B,D,C,D,A,E,B,D,B,C,B,C,C,B,E,C,E,A,B,C,B,E,C,E,A,B,C,C,E,B,D,C,B,D,B,B,C,D,B,A,A,D,C,D,C,C,C,C,C,C,E,C,C,C,A,E,C,C,C,C,C,E,C,C,C,C,B,C,C,C,C,C,D,C,C,C,C,C,C,C,D,C,D,C,C,C,C,C,E,C,C,C,C,C,C,C,C,E,C,C,C,B,D,C,D,C,C,A,C,B,C,E,C,C,C,C,C,C,C,C,C,A,C,C,C
1329,M,medio,centro,0.119,baja,Salud,MED,1,balance_vida_trabajo,0.501,0.798,D,D,D,C,E,C,C,E,A,B,B,B,D,B,C,D,C,C,C,D,E,D,D,B,A,C,A,A,C,A,C,C,C,A,E,C,E,E,E,C,A,A,D,D,A,D,D,A,A,D,B,A,D,C,A,E,C,D,D,E,D,C,E,A,E,D,E,D,A,C,A,C,A,D,B,D,A,E,A,D,A,A,D,E,D,A,A,A,A,A,A,C,A,A,A,A,E,A,B,A,A,E,A,D,A,A,A,A,A,C,A,E,A,C,C,A,A,D,A,A,C,D,C,B,D,A,A,A,D,A,B,A,A,D,A,A,A,A,B,E,A,A,C,B,A,A,A,A,A,A,A,A,C,B,B,C,C,A,A,A
1330,F,bajo,centro,0.334,baja,Oficios_Basicos,VENDEDOR,24,empleabilidad_rapida,0.546,0.79,B,D,D,B,E,D,A,B,E,A,B,B,D,D,C,D,D,D,D,E,C,E,D,E,D,C,D,D,D,B,D,D,E,A,D,C,E,E,C,C,D,E,A,E,B,D,B,E,D,D,D,D,D,D,B,D,D,D,D,E,D,D,C,E,B,A,B,E,D,D,D,A,D,E,D,B,A,E,B,B,D,E,E,D,D,D,B,B,D,B,D,B,D,C,D,D,D,D,D,B,A,E,C,D,D,D,B,D,D,D,D,D,B,D,D,C,D,E,B,D,B,D,A,E,D,D,E,D,E,D,B,C,C,D,D,D,D,D,D,D,A,D,D,A,D,D,E,C,D,C,D,D,D,D,D,D,D,D,C,B
1331,M,medio,norte,1.183,media,Negocios,ADM,11,crecimiento_profesional,0.493,0.658,C,B,D,B,C,B,B,D,A,D,B,D,C,C,C,C,B,E,A,E,A,B,A,C,A,A,C,C,C,B,D,A,B,B,B,C,A,C,B,A,C,B,D,B,C,D,C,C,B,D,C,B,C,B,C,B,D,C,D,B,B,D,C,C,B,E,C,B,A,B,C,C,C,B,C,A,A,B,C,C,C,A,B,B,A,A,B,A,D,A,E,A,A,D,D,B,A,D,A,A,B,A,D,D,E,A,A,A,C,D,A,A,A,C,A,B,B,D,A,A,A,A,A,E,A,C,A,A,A,C,A,E,A,B,A,D,A,A,A,D,A,A,B,A,A,D,B,A,C,E,D,A,A,A,C,D,B,A,A,A
1332,M,bajo,pacifico,0.975,media,Oficios_Basicos,LIMPIEZA,23,empleabilidad_rapida,0.596,0.81,A,D,D,A,C,B,B,B,B,B,D,B,C,D,B,E,B,D,A,E,D,B,E,C,D,B,D,C,B,B,B,C,B,A,D,B,D,C,B,A,D,B,D,B,C,B,C,D,B,E,C,D,D,B,D,B,B,C,D,D,B,B,C,E,C,B,C,B,E,B,E,C,E,B,D,A,B,A,D,C,C,C,C,C,C,A,C,C,D,C,C,E,B,C,C,C,C,C,C,E,D,C,C,C,A,C,C,C,D,C,A,C,C,C,C,C,C,C,C,C,D,C,B,C,C,C,C,B,C,A,C,E,D,E,D,C,B,C,E,C,B,C,C,C,C,C,C,C,C,C,A,C,C,C,D,C,C,C,C,C
1333,M,bajo,norte,0.481,media_baja,Oficios_Basicos,ALBANIL,21,ayudar_familia,0.455,0.914,E,D,A,B,E,B,B,D,C,B,C,E,D,D,B,D,B,E,C,E,A,B,D,C,E,B,D,C,B,E,A,D,A,A,C,B,E,C,C,A,B,C,D,D,C,D,C,D,B,E,C,E,A,B,A,B,C,C,E,B,B,E,C,E,A,E,C,C,E,B,D,C,B,B,C,A,C,C,D,C,A,A,A,D,D,B,A,D,A,A,A,E,A,B,D,A,A,A,A,A,E,B,A,E,B,A,B,B,A,A,C,A,A,A,A,E,A,A,A,E,A,A,E,B,D,A,B,E,A,A,B,E,E,D,A,A,A,E,D,C,A,A,A,A,A,D,A,A,A,C,D,A,C,B,A,A,D,A,A,C
1334,F,medio,pacifico,0.898,media_baja,Ingenieria,ARQ,10,balance_vida_trabajo,0.375,0.793,E,D,D,B,C,B,B,D,D,E,B,A,C,D,B,C,B,B,A,D,D,B,B,C,B,A,B,C,B,D,D,B,A,D,A,C,B,C,B,A,D,B,B,B,C,B,C,B,B,B,C,B,B,B,B,B,D,C,D,C,B,B,C,B,A,B,C,B,B,B,D,C,B,B,D,A,E,B,D,C,C,B,D,C,A,E,E,B,E,E,E,E,B,A,E,B,D,D,E,D,C,E,E,E,C,E,E,B,E,C,E,B,E,D,C,E,E,E,E,D,D,C,A,E,E,D,E,B,B,E,B,E,D,E,E,A,E,E,B,D,D,D,E,E,E,E,E,A,A,E,E,B,A,B,D,B,C,C,E,A
1335,F,medio_alto,centro,1.737,alta,Negocios,CONT,12,estabilidad_economica,0.45,0.716,E,D,A,B,B,B,A,C,A,A,C,C,D,D,B,A,B,A,B,C,A,B,E,C,D,A,E,C,B,C,A,A,B,C,B,B,C,C,D,A,C,B,A,C,C,C,C,C,B,C,C,D,B,B,B,B,D,C,C,C,B,A,C,D,A,B,C,B,D,B,D,C,B,B,D,A,A,C,E,C,B,B,B,B,D,B,B,A,D,A,B,E,B,A,E,B,B,B,B,B,B,B,C,B,B,B,B,C,B,B,A,B,B,B,B,A,B,B,B,B,A,B,A,B,B,B,B,C,B,B,B,B,D,C,C,B,B,B,C,B,B,B,B,D,B,B,D,B,D,B,B,B,B,B,B,B,B,B,B,B
1336,M,medio,pacifico,1.183,media_alta,Salud,MED,1,estabilidad_economica,0.306,0.689,B,B,A,A,B,B,B,E,B,B,C,D,C,B,B,D,B,B,B,B,A,B,A,C,D,A,D,C,C,A,B,A,B,D,B,B,D,C,A,A,D,B,A,A,C,E,C,D,B,A,C,A,A,D,E,B,A,C,A,D,B,D,C,E,C,A,C,B,D,B,C,C,E,B,B,A,D,D,A,C,A,C,A,C,C,C,A,B,A,C,A,A,A,E,D,D,A,B,A,A,A,A,D,A,C,A,A,E,A,C,C,A,A,B,B,A,B,E,A,C,A,A,A,E,A,B,C,B,A,A,A,D,A,B,A,B,C,C,E,D,A,D,A,C,A,D,B,A,B,D,E,D,A,B,A,A,A,A,D,C
1337,F,alto,norte,0.515,media_baja,Negocios,COM,15,realizacion_personal,0.677,0.747,D,D,D,A,D,B,A,D,D,A,A,D,D,D,C,C,B,D,B,E,A,B,A,C,D,B,D,C,C,C,A,D,B,D,B,C,C,C,C,A,B,C,C,B,C,D,C,E,B,D,C,A,A,B,C,B,D,C,D,B,B,C,C,E,A,D,C,B,C,B,E,C,A,B,E,A,C,C,E,C,C,E,E,E,E,B,B,E,B,E,E,C,A,E,B,E,D,E,D,C,A,E,E,E,E,E,E,A,E,C,E,E,E,B,E,E,E,E,B,C,E,C,E,E,E,B,B,B,E,E,E,E,E,E,E,C,E,A,E,E,A,C,B,E,B,E,E,C,C,C,C,D,E,D,E,A,E,E,E,D
1338,M,medio,centro,0.54,media_baja,Ingenieria,MEC,8,crecimiento_profesional,0.487,0.769,A,A,B,A,C,B,B,D,B,C,C,D,C,A,B,E,B,B,C,B,A,B,B,C,A,B,B,C,C,B,B,B,B,B,D,B,B,C,E,A,B,B,B,B,C,B,C,B,B,B,C,B,B,B,B,B,B,C,B,A,B,B,C,B,A,B,C,B,B,B,A,C,B,B,C,A,B,B,C,C,C,C,C,C,C,C,C,C,E,C,C,C,C,C,C,C,D,C,C,C,B,C,C,C,D,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C,E,C,B,C,C,D,C,D,E,C,C,C,C,C,C,C,E,D,D,C,C,C,C,C,C,B,C,C,E,A,C,A,D,C,C,C,C,E,B,E
1339,F,medio,centro,0.522,media_baja,Oficios_Tecnicos,TEC_AUTO,20,balance_vida_trabajo,0.463,0.924,E,D,E,A,E,B,B,D,B,A,A,E,C,D,B,E,B,E,D,D,D,B,E,C,D,C,E,C,B,C,D,E,B,E,B,B,D,C,D,A,E,B,D,C,C,D,C,D,B,D,C,B,D,D,D,B,E,C,D,C,B,D,C,B,B,D,C,B,B,B,D,C,D,B,C,A,E,C,D,C,E,E,E,B,E,B,E,C,D,D,B,B,E,A,D,A,E,D,C,E,A,E,B,C,E,E,E,C,E,E,E,E,C,E,C,E,C,B,B,C,E,E,E,C,D,A,C,C,E,E,A,E,B,E,E,E,E,D,E,E,B,E,C,E,E,E,E,A,B,E,E,D,E,E,E,C,B,E,D,B
1340,F,bajo,centro,0.297,baja,Oficios_Tecnicos,TEC_ENF,16,empleabilidad_rapida,0.503,0.898,A,D,D,E,E,C,C,D,C,A,E,A,A,D,A,D,C,D,E,E,B,E,E,A,D,D,E,A,D,E,C,A,A,E,E,E,E,D,C,D,E,E,E,D,E,D,A,E,D,D,D,E,B,D,D,A,B,A,E,D,D,C,E,E,D,E,D,E,E,D,D,B,D,C,C,D,D,E,D,B,A,A,A,A,B,A,A,A,A,A,A,C,A,C,A,C,E,B,C,A,A,A,A,B,E,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,A,B,E,A,A,A,D,A,D,A,D,C,C,A,A,B,E,D,A,A,B,A,A,A,A,A,A,D,C,B,A,A,D,B,B,A
1341,F,medio,sur,0.632,media_baja,Negocios,MKT,13,balance_vida_trabajo,0.523,0.813,D,D,C,C,D,B,B,D,B,E,C,C,C,C,B,D,B,D,A,C,D,B,D,C,D,B,D,C,B,C,C,A,B,B,B,C,D,C,A,A,D,B,E,C,C,E,C,D,B,C,C,D,B,D,C,B,E,C,E,D,B,D,C,C,A,C,C,B,D,B,C,C,D,B,D,A,D,A,D,C,D,D,D,D,C,C,B,C,C,A,E,C,C,D,C,C,C,D,D,E,C,C,C,C,C,C,E,B,A,C,E,C,C,C,C,C,C,C,C,C,C,E,C,C,C,C,C,E,C,C,E,B,C,C,C,C,C,D,C,B,C,C,E,C,C,C,B,A,C,C,C,A,E,C,A,C,C,C,C,C
1342,F,medio,centro,0.601,media_baja,Ingenieria,ARQ,10,crecimiento_profesional,0.62,0.909,D,A,D,C,C,B,B,B,D,D,B,A,D,A,C,C,B,D,C,B,A,B,E,C,B,B,B,C,B,B,C,B,A,B,B,B,B,C,C,A,B,B,C,D,C,B,C,B,B,E,C,D,C,D,D,B,B,C,B,B,B,B,C,C,C,B,C,B,B,B,B,C,B,B,B,A,E,D,B,C,D,E,E,E,D,E,E,E,B,C,B,C,A,E,D,C,E,E,E,B,D,D,E,E,D,E,B,D,E,E,E,C,D,B,B,E,E,E,E,E,B,D,B,B,D,E,E,D,E,E,B,E,D,E,C,D,D,D,B,D,E,E,B,E,E,E,E,E,E,A,E,D,E,E,D,E,D,E,D,E
1343,F,medio_alto,pacifico,0.909,media,Negocios,MKT,13,estabilidad_economica,0.509,0.711,E,D,A,B,D,B,A,E,C,E,A,C,D,D,C,C,B,D,D,C,D,B,D,C,D,C,C,C,B,D,A,D,B,E,B,B,D,C,B,A,E,B,E,B,C,D,C,C,B,C,C,D,B,B,E,B,E,C,A,B,B,D,C,C,B,D,C,B,C,B,A,C,E,B,E,A,D,B,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,B,B,B,C,E,C,D,C,C,C,C,C,C,D,C,C,C,C,A,D,C,C,E,C,C,D,B,A,C,B,A,C,C,A,C,C,C,C,C,C,A,C,C,D,C,C,C,A,C,C,C,C,C,C,B,D,C,C
1344,M,medio,centro,0.838,media_baja,Negocios,COM,15,estabilidad_economica,0.589,0.749,C,D,C,B,E,B,B,E,B,B,C,D,C,D,C,E,B,D,A,C,A,B,C,C,D,B,B,C,B,D,A,D,B,E,B,B,C,C,D,A,D,B,E,D,C,D,C,C,B,C,C,D,D,B,D,B,C,C,E,B,B,C,C,D,C,C,C,B,A,B,C,C,C,B,C,A,C,A,D,C,E,B,E,E,C,E,E,E,D,B,B,E,E,A,C,E,E,B,B,E,D,D,E,E,E,E,E,D,A,E,E,B,E,B,E,D,E,E,D,B,E,A,E,E,E,E,E,D,A,D,E,A,E,C,B,D,E,C,E,E,B,E,E,E,E,E,E,E,D,B,E,E,B,E,E,E,E,C,D,E
1345,M,medio_alto,norte,0.79,media_baja,Oficios_Basicos,CHOFER,22,estabilidad_economica,0.514,0.945,A,D,D,B,B,B,B,A,A,A,C,B,D,D,B,B,B,E,C,D,A,B,E,C,D,C,E,C,B,E,D,B,B,C,B,C,D,C,C,A,D,B,E,B,C,E,C,E,A,E,C,D,C,B,C,B,D,C,A,A,B,D,C,E,C,D,C,C,D,B,D,C,D,B,E,A,D,C,D,C,B,D,A,D,B,B,B,B,A,B,B,B,B,C,B,B,B,D,B,B,B,B,B,D,B,D,D,B,D,B,D,E,B,B,B,B,D,B,B,B,B,B,B,B,B,B,B,C,B,D,B,B,A,E,B,B,B,C,B,B,B,B,B,B,D,B,C,A,B,B,D,C,B,E,E,A,D,B,B,B
1346,M,medio_alto,centro,0.429,media,Oficios_Basicos,VENDEDOR,24,estabilidad_economica,0.656,0.741,E,D,D,A,B,B,B,E,B,A,C,E,C,C,B,D,B,E,B,A,A,B,D,C,D,B,C,C,B,E,B,E,B,D,A,B,A,C,E,A,D,C,B,A,C,E,C,C,A,D,C,B,B,D,D,B,D,C,D,B,B,C,C,D,C,D,C,B,D,B,D,C,E,B,D,A,D,A,E,C,C,D,D,D,B,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D,E,E,B,D,B,B,B,D,D,D,C,E,D,D,B,D,D,D,A,C,E,D,B,D,D,D,D,B,A,D,D,D,A,D,E,C,D,D,D,D,C,E,D,A,D,D,D,D,D,D,D,D,D
1347,F,medio,norte,0.2,media_baja,Oficios_Tecnicos,CHEF,19,crecimiento_profesional,0.477,0.749,D,D,D,B,E,B,B,D,D,E,C,B,C,D,C,E,B,E,D,D,A,B,D,C,D,B,B,C,B,A,C,A,A,D,B,B,C,C,D,A,C,B,E,A,C,C,C,A,B,D,C,D,C,B,B,B,C,C,D,D,B,E,C,D,B,E,C,B,E,B,A,C,E,B,D,A,C,B,E,C,C,D,D,D,D,D,D,D,C,D,B,D,D,D,C,D,D,D,C,D,D,A,D,D,D,D,D,D,C,D,D,D,D,D,B,C,D,A,C,D,D,C,C,D,D,D,A,D,E,C,D,C,A,D,D,D,D,B,C,D,D,D,E,D,B,D,D,B,A,D,E,D,D,E,D,D,D,D,D,D
1348,F,medio_alto,norte,1.034,media,Ingenieria,ELEC,7,crecimiento_profesional,0.356,0.709,A,D,B,C,C,B,B,E,B,A,B,A,C,A,B,A,B,B,B,A,D,B,B,C,B,B,B,C,B,B,A,B,B,C,A,C,B,C,B,A,B,C,B,A,C,B,C,C,B,B,C,D,C,B,B,B,B,C,E,C,B,B,C,B,C,B,C,C,B,B,B,C,A,B,C,A,B,A,B,C,B,B,C,B,C,B,C,B,B,B,B,E,C,B,B,C,B,B,E,B,B,B,B,B,B,B,B,C,B,B,B,B,A,B,B,B,B,C,B,B,B,A,C,E,D,B,B,D,B,C,C,C,B,B,E,B,B,B,B,B,C,A,C,D,B,B,A,B,B,B,B,C,E,B,B,A,B,B,B,C
1349,F,bajo,pacifico,0.889,media_alta,Oficios_Tecnicos,TEC_ENF,16,estabilidad_economica,0.301,0.759,E,D,D,B,C,B,B,D,A,B,D,E,D,D,B,C,B,D,B,E,A,B,D,C,E,B,D,C,B,E,C,B,B,C,A,B,B,C,D,A,C,C,D,B,C,C,C,A,B,B,C,D,D,B,C,B,E,C,D,A,B,D,C,C,B,D,C,B,A,B,D,C,E,B,A,A,C,B,E,C,C,C,A,B,A,A,A,B,A,D,B,A,B,A,A,D,B,A,A,D,E,A,A,C,E,C,B,E,A,A,D,C,A,C,A,A,A,A,A,A,E,A,A,A,A,E,B,A,A,B,A,A,A,A,D,A,A,B,A,A,A,A,D,C,D,D,A,A,C,C,B,A,A,A,A,A,A,D,A,C
1350,F,medio_alto,norte,0.555,media_baja,Oficios_Tecnicos,TEC_ENF,16,crecimiento_profesional,0.502,0.839,E,D,D,B,E,B,B,E,C,A,B,C,D,D,C,D,B,D,A,D,D,B,D,C,D,C,B,C,B,B,B,E,A,B,D,B,D,C,D,A,A,B,C,D,C,D,C,E,B,D,C,E,A,B,D,B,D,C,D,B,B,D,C,B,B,B,C,C,E,B,E,C,B,B,B,A,D,D,E,C,A,D,A,A,D,A,A,C,A,D,A,A,A,D,A,A,C,C,E,A,A,B,A,A,D,A,A,A,A,A,C,D,B,A,B,A,D,B,A,C,A,D,B,A,A,C,A,A,C,C,C,A,B,A,A,A,E,A,C,A,A,A,D,D,A,A,D,B,A,A,A,A,D,A,A,A,E,A,A,A
